Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 
TIME       :
FILENAME   : 
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-EP774  219.
  Instrument number       =UTC-6
                          =0
  Location                =BARO
  Sample period           =H01
  Sample method           =T
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   �C
  Range                   =100,000   �C


[Series settings]
  Serial number           =BB00-EP774  219.
  Instrument number       =UTC-6
  Location                =BARO
  Sample period           =00 01:00:00 0
  Sample method           =T
  Start date / time       =16:13:11 1-03-24
  End date / time         =16:13:10 30-06-24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   �C
  Range                   =100,000   �C


Date/time;Pressure[cmH2O];Temperature[�C]
2024/03/07 03:35:40;1033,175;23,050
2024/03/07 04:35:40;1032,700;22,903
2024/03/07 05:35:40;1032,825;22,753
2024/03/07 06:35:40;1033,175;22,613
2024/03/07 07:35:40;1033,775;22,473
2024/03/07 08:35:40;1034,650;22,323
2024/03/07 09:35:40;1034,250;22,240
2024/03/07 10:35:40;1033,850;22,223
2024/03/07 11:35:40;1034,100;22,340
2024/03/07 12:35:40;1033,575;22,573
2024/03/07 13:35:40;1032,900;22,920
2024/03/07 14:35:40;1032,350;23,347
2024/03/07 15:35:40;1032,150;23,730
2024/03/07 16:35:40;1032,225;24,060
2024/03/07 17:35:40;1032,350;24,270
2024/03/07 18:35:40;1032,550;24,357
2024/03/07 19:35:40;1032,150;24,340
2024/03/07 20:35:40;1032,625;24,300
2024/03/07 21:35:40;1032,700;24,230
2024/03/07 22:35:40;1032,425;24,143
2024/03/07 23:35:40;1032,500;24,043
2024/03/08 00:35:40;1031,600;23,920
2024/03/08 01:35:40;1031,675;23,833
2024/03/08 02:35:40;1030,875;23,740
2024/03/08 03:35:40;1030,250;23,637
2024/03/08 04:35:40;1029,575;23,583
2024/03/08 05:35:40;1029,375;23,497
2024/03/08 06:35:40;1030,325;23,450
2024/03/08 07:35:40;1029,925;23,403
2024/03/08 08:35:40;1030,400;23,363
2024/03/08 09:35:40;1029,525;23,357
2024/03/08 10:35:40;1029,725;23,427
2024/03/08 11:35:40;1029,050;23,583
2024/03/08 12:35:40;1028,100;23,753
2024/03/08 13:35:40;1027,075;23,880
2024/03/08 14:35:40;1025,875;24,013
2024/03/08 15:35:40;1026,125;24,160
2024/03/08 16:35:40;1026,400;24,277
2024/03/08 17:35:40;1026,550;24,410
2024/03/08 18:35:40;1027,700;24,467
2024/03/08 19:35:40;1027,700;24,473
2024/03/08 20:35:40;1027,700;24,467
2024/03/08 21:35:40;1028,175;24,450
2024/03/08 22:35:40;1028,850;24,387
2024/03/08 23:35:40;1028,900;24,270
2024/03/09 00:35:40;1028,700;24,113
2024/03/09 01:35:40;1028,425;23,967
2024/03/09 02:35:40;1028,225;23,817
2024/03/09 03:35:40;1028,650;23,660
2024/03/09 04:35:40;1028,425;23,513
2024/03/09 05:35:40;1030,675;23,357
2024/03/09 06:35:40;1031,750;23,183
2024/03/09 07:35:40;1032,900;23,027
2024/03/09 08:35:40;1033,375;22,880
2024/03/09 09:35:40;1034,100;22,730
2024/03/09 10:35:40;1034,300;22,607
2024/03/09 11:35:40;1034,300;22,520
2024/03/09 12:35:40;1033,850;22,450
2024/03/09 13:35:40;1033,575;22,387
